title,content
"Helikopter Militer Rusia Jatuh di Pinggiran Moskow, 3 Orang Tewas", Moskow Sebuah helikopter militer Rusia Mi jatuh di pinggiran Moskow Rusia saat latihan Kementerian Pertahanan Rusia menyatakan helikopter militer Mi jatuh pada Selasa malam waktu setempat Sebagai akibat kecelakaan kru helikopter meninggal karena luka luka mereka kata Kementerian Pertahanan seperti dilansir kantor berita AFP Rabu Juru bicara Kementerian Pertahanan menolak menyebutkan berapa jumlah kru yang tewas Selanjutnya Halaman rusia helikopter rusia jatuh helikopter rusia 
"2Â Pesawat Aerobatik Kanada Jatuh, Pilot Alami Cedera", Kanada Tim aerobatik angkatan udara elit Kanada mengalami kecelakaan pesawat saat melakukan aksi penghormatan atas penanganan virus Corona di British Columbia Kanada Akibat kecelakaan pesawat ini seorang pilot alami patah tulang leher dan punggung Seperti dilansir AFP Senin insiden kecelakaan pesawat tersebut terjadi di halaman depan sebuah rumah tak lama setelah lepas landas dari Bandara Kamloops Pesawat itu dan satu pesawat lainnya menabrak halaman depan rumah Pesawat Snowbirds pasukan Kanada jatuh di sekitar Bandara Kamloops cuit akun twitter Angkatan Udara Kanada Prioritas kami saat ini adalah memantau status personel kami dan personel darurat pendukung sambungnya maa dkp kanada kecelakaan pesawat pilot 
"Helikopter Kanada Hilang di Perairan Yunani, 5 Orang Dinyatakan Tewas", Kanada Helikopter Kanada yang sempat hilang dipastikan jatuh di Perairan Yunani saat melakukan operasi pengintaian bersama NATO Sebanyak orang di helikopter tersebut dinyatakan tewas Seperti dilansir dari AFP Sabtu operasi keselamatan sempat dilakukan oleh pihak terkait Namun saat ini pihak Kementerian Pertahanan Kanada memastikan operasi tersebut sudah berganti menjadi operasi pencarian Lima orang lainnya yang hilang yang berada di pesawat sekarang secara resmi dianggap hilang dan diduga meninggal kata salah satu sumber Kementerian tersebut Sisa sisa tambahan telah ditemukan selama pencarian tetapi tidak dapat diidentifikasi saat ini sambugnya Kecelakaan itu terjadi Rabu yang lalu Saat itu helikopter tersebut tiba tiba hilang kontak saat hendak kembali ke kapal perang HMCS Fredericton setelah misi pelatihan maa maa helikopter helikopter jatuh tewas 
Aksi Dokter Hewan Selamatkan Satwa di Daerah Konflik, Damaskus Di saat negara dan kota tercerabik perang hal terakhir yang dipikirkan oleh banyak orang adalah nasib para hewan di kebun binatang Padahal mereka juga terjebak di tengah konflik Dari Mosul Aleppo Kosovo hingga Kairo Amir Khalil seorang dokter hewan yang bekerja di organisasi kesejahteraan hewan Four Paws International telah menghabiskan tahun dalam hidupnya untuk menyelamatkan hewan dari situasi konflik DW Menurut Anda apa misi tersulit yang pernah Anda jalani Amir Khalil Bagi saya setiap misi tidak mudah saya telah banyak menghadapi situasi yang membahayakan nyawa Di Kosovo saya melihat orang orang dibunuh di depan mata saya sendiri Pistol juga pernah diarahkan ke kepala saya Saat itu Anda menyadari bahwa Anda harus banyak belajar tidak cukup hanya punya emosi dan kemauan perlu juga pelatihan Kami bukan koboi yang pergi ke zona perang atau konflik Keselamatan tim adalah yang utama kedua dan ketiga Dan pelatihan sangat penting Meski bukan tim militer kami harus bekerja sangat profesional untuk mengamankan setiap langkah kami juga harus punya skenario untuk melarikan diri Membawa masuk dan keluar tim adalah prioritas utama Yang kedua tentu saja mengeluarkan hewan dengan selamat Dalam misi penyelamatan kami di Aleppo sebuah kebun binatang terkena serangan bom sebanyak dua kali Dari hewan yang ada di sana kami hanya bisa menyelamatkan ekor Sedangkan dari hewan di kebun binatang Mosul kami hanya berhasil menyelamatkan dua hewan seekor singa dan beruang Berapa banyak hewan yang telah Anda selamatkan selama ini Ini bukan hanya pekerjaan saya Saya hanya melakukan sebagian kecil dari pekerjaan ini tetapi saya pikir tim saya sangat hebat Mereka telah bergabung dengan saya selama bertahun tahun Kami telah menyelamatkan ribuan hewan di seluruh dunia dari badai banjir gempa bumi kebakaran dan perang Di Mesir selama revolusi semua orang sibuk di Lapangan Tahrir di Kairo Banyak orang lupa ada lebih dari keluarga yang tinggal di sekitar piramida dan bergantung pada sektor pariwisata Mereka memiliki kuda dan unta Pada minggu pertama revolusi lebih dari hewan milik warga di sana mati kelaparan Four Paws International saat itu memasok makanan dan obat obatan untuk hewan selama tiga bulan Dan kami terus memberikan bantuan setelahnya Seperti apa kondisi hewan yang diselamatkan dari zona perang baik kondisi fisik maupun kondisi psikologis Semua hewan yang saya selamatkan bersama dengan tim di Four Paws mengalami trauma Misalnya dalam perang tahun di Gaza Anda bisa bayangkan jika dalam sebuah kandang ada tiga singa lalu rudal jatuh dan singa itu melihat pasangan atau teman mereka meledak Lalu ada penembakan helikopter terbang di atas mereka tetapi hewan hewan ini tidak mengerti apa yang terjadi Terkadang ada bom fosfor yang membuat hewan hewan itu mati akibat terbakar bahan kimia Di daerah perang seekor hewan bisa tidak makan selama tiga hingga empat minggu bahkan ada yang sampai hari Di Mosul hewan hewan ini mulai saling memakan satu sama lain Jadi ada singa betina memakan singa jantan Singa itu kemudian lapar lagi tetapi dia tidak memakan anaknya Singa betina itu baru saja mati Dan anaknya singa Simba berhasil kami selamatkan Hewan membutuhkan banyak waktu untuk tahu bahwa mereka telah berada di tempat yang damai kadang kadang bisa butuh satu atau dua tahun Seiring waktu dan perhatian dari tim yang berkualitas kondisi hewan secara fisik dan mental meningkat pesat Tetapi kadang kadang ketika ada sebuah helikopter melintas di atas kepala mereka hewan hewan ini kembali gelisah dan berpikir mereka kembali ke daerah konflik Mereka pun lari dan bersembunyi Bahkan ketika mereka sebenarnya berada di tempat perlindungan yang aman Dan ketika Anda menyelamatkan hewan hewan itu perawatan seperti apa yang biasanya mereka butuhkan Terkadang kondisi hewan hewan itu sangat lemah Misalnya di Mosul atau Aleppo Anda dapat membayangkan bahwa hewan hewan ini belum makan selama satu bulan sehingga mereka sangat kurus sakit dan lemah Jadi pertama tama saya harus membuat rencana untuk meningkatkan kesehatan mereka sehingga mereka dapat melanjutkan perjalanan yang panjang atau berbahaya Di beberapa tempat seperti Mosul atau Gaza saya sering kali harus melakukan operasi untuk mengambil pecahan peluru rudal dari tubuh hewan hewan itu Jadi kadang kadang ada kebutuhan tindakan medis untuk mengobati luka mereka Langkah kedua adalah meningkatkan kesehatan mereka dengan pemberian pakan yang benar dan tidak mudah membawa makanan ke zona perang Di Mosul kami harus mengangkut makanan setiap hari sejauh kilometer di jalan yang sangat berbahaya Misi apa yang tengah Anda kerjakan baru baru ini Saya berada di Lebanon tempat berlangsungnya banyak demonstrasi dalam beberapa bulan terakhir Saya mengunjungi beberapa kebun binatang pribadi di selatan Lebanon Hewan hewan di sana sangat menderita Kami membantu mereka dengan cara menyuplai makanan dan obat obatan dan kami berharap dalam waktu dekat kami dapat memindahkan hewan hewan ini ke tempat yang aman Namun pada akhirnya tidak ada makanan tidak ada dana dan tidak ada obat untuk para hewan Tentu saja manusia menderita karena kondisi politik atau ekonomi tetapi hewan juga menderita Saat ini Four Paws juga aktif di Australia yang dilanda kebakaran hutan kami berusaha menemukan cara terbaik untuk membantu hewan hewan di sana Wawancara ini dilakukan oleh Samantha Baker dan telah diedit sesuai konteks ae rap ita ita dw news aleppo suriah 
Kedatangan Jenazah Praka Risno Disambut Tangis Keluarga di Buton Utara, Buton Utara Jenazah Praka Anumerta Risno yang gugur dalam kecelakaan udara helikopter MI di Pegunungan Bintang Papua akhirnya tiba di kampung halamannya Desa Konde Kamboa Buton Utara Sulawesi Tenggara Sultra Kedatangan jenazah prajurit Yonif Woroagi Korem Halu Oleo Kendari TNI AD di kampung halamannya itu membuat tangis keluarga dan kerabat pecah Risno adalah satu dari prajurit TNI AD yang gugur dalam kecelakaan helikopter MI di Puncak Mandala Kabupaten Pegunungan Bintang pada Juni Heli dinyatakan hilang kontak sesaat setelah menyuplai logistik ke pos TNI setempat jbr jbr helikopter mi heli mi kecelakaan heli mi biromakassar sultra 
Isak Tangis Iringi Pemakaman Sertu Dita Korban Heli MI-17 di Banyumas, Banyumas Jenazah Sertu Anumerta Dita Ilham Primojati anggota Skadron Serbu Penerbad Semarang yang gugur di Oksibil Papua dimakamkan di kampung halamannya di Banyumas Sertu Dita merupakan korban jatuhnya helikopter MI milik TNI AD di Oksibil Pegunungan Bintang saat perjalanan ke Lanud Silaspapare Jayapura Pantauan detikcom jenazah Sertu Dita dimakamkan secara militer di TPU Desa Kemutug Kidul Kecamatan Baturraden Banyumas Selasa Keluarga dan calon istri Sertu Dita tak kuasa menahan tangisnya selama prosesi pemakaman dilakukan Jenazah Sertu Anumerta Dita Ilham Primojati dimakamkan di Banyumas Foto Arbi Anugrah detikcom Sangat bersyukur meskipun ternyata gugur dalam tugas Alhamdulillah sudah ketemu mudah mudahan ini yang terbaik kata Ibnu di lokasi Selasa Ibnu mengaku terakhir berkomunikasi dengan adiknya saat akan terbang ke Papua Kala itu sang adik sempat meminta doa kepada ayahnya padahal selama ini Sertu Dita sudah tiga kali ditugaskan ke Papua Biasanya izin ke orang tua biasa Pak mau tugas Papua Tapi saat yang terakhir kali ini telepon ke saya Mas Bapak di mana aku mau ngomong sama Bapak aku mau pamitan mau tugas ke Papua minta doanya Dia itu biasanya tidak seperti itu biasanya hanya bilang mau tugas ke Papua tapi ini ada ingin ngobrol yang lebih intens sama bapak ungkapnya Di lokasi yang sama Kolonel CPN Heri Kriswanto Kabengkus Penerbad Skadron serbu Semarang mengenang Sertu Anumerta Dita Ilham Primojati merupakan prajurit yang selalu melaksanakan tugas dengan baik Saat pesawat itu jatuh Sertu Dita tengah bertugas untuk mengantar logistik dan menjemput kru di garis depan Selanjutnya Halaman helikopter mi heli mi tni banyumas birojatengdiy 
Satu Korban Heli MI-17 Dimakamkan di Pemakaman Keluarga Bondowoso, Bondowoso Salah seorang korban jatuhnya helikopter MI TNI AD yang jatuh di Oksibil Papua tiba di Bondowoso Jenazah dimakamkan di tempat pemakaman keluarga Jenazah Pratu Anumerta Tegar HS tiba di rumah duka Desa Suling Kulon Cermee Selasa pukul wib Setelah disalatkan jenazah langsung dibawa ke tempat pemakaman keluarga di Kelurahan Kotakulon Bondowoso Kendati dimakamkan di pemakaman umum jenazah putra kedua pasangan Suhardi dan Nanik ini dimakamkan secara militer dipimpin Komandan Kodim setempat Atas permintaan keluarga dia dimakamkan di pemakaman keluarga Namun tetap secara militer Karena almarhum gugur dalam tugas kata Dandim Bondowoso Letkol Jadi seusai prosesi pemakaman Selasa fat fat birojatim heli mi kecelakaan heli mi 
"Kapolda Papua Berduka Prajurit Gugur, Imbau Barang di Heli MI-17 Dikembalikan", Jakarta Kapolda Papua Irjen Paulus Waterpauw turut berduka cita atas gugurnya prajurit TNI dalam helikopter MI yang jatuh di Pegunungan Mandala Pegunungan Bintang Papua Kami turut berduka cita atas gugurnya prajurit TNI dalam melaksanakan tugas di Papua Semoga pengabdian perjuangan dan ibadah Almarhum senantiasa mendapat tempat yang terbaik di sisi Allah SWT ujar Irjen Paulus saat dihubungi Sabtu Selain itu Kapolda Papua berharap partisipasi masyarakat untuk membantu mengembalikan peralatan perlengkapan prajurit yang dibawa dalam helikopter MI Diketahui ada senjata organik TNI AD yang hilang dari lokasi penemuan puing helikopter MI fdn fdn biromakassar kapolda papua heli tni ad hilang heli tni hilang kontak heli mi 
11 Senjata Hilang dari Lokasi Jatuhnya Heli TNI AD MI-17, Jayapura Panglima Kodam XVII Cenderawasih Mayor Jenderal TNI Herman Asaribab mengakui ada senjata api dari berbagai jenis tidak ditemukan tim yang melakukan evakuasi di kawasan Pegunungan Mandala Kabupaten Pegunungan Bintang Papua Memang benar dari laporan yang diterima terungkap senpi yang dibawa korban tidak ditemukan kata Asaribab di Jayapura Sabtu Dari laporan itu Asaribab mengatakan ada senjata organik TNI AD yang mungkin dibawa masyarakat yang berburu Pihak TNI akan melakukan pendekatan agar senjata dikembalikan Kami akan melakukan pendekatan agar ke pucuk senjata api itu segera dikembalikan ujarnya Senjata api yang hilang adalah jenis senapan serbu SS pistol dan pelontar granat alias GLM Heli MI hilang kontak pada Jumat Juni saat terbang dari Bandara Oksibil Papua Helikopter saat itu terbang menuju Bandara Sentani Jayapura Helikopter mengangkut orang terdiri atas orang kru dan personel Satgas Yonif Woroagi Heli ini digunakan dalam misi pengiriman logistik ke pos udara pengamanan perbatasan pamtas di Distrik Okbibab Pegunungan Bintang Tonton juga Detik detik Helikopter Ditembak Jatuh Pemberontak Suriah Gambas Video detik fdn fdn biromakassar heli mi heli tni ad hilang heli tni hilang kontak 
Pangdam Cenderawasih: Kecelakaan Heli MI-17 karena Faktor Cuaca, Jayapura Pangdam XVII Cenderawasih Mayjen TNI Herman Asaribab menegaskan helikopter milik TNI AD MI yang jatuh di pegunungan Mandala Pegunungan Bintang Papua murni karena faktor cuaca Saya perkirakan pilot sudah berusaha membawa helikopter ke lokasi semula Tetapi karena situasi cuaca yang berkabut di daerah pegunungan saat itu sehingga pilot memutuskan kembali tetapi saat memutar heli terjadi insiden kecelakaan menabrak gunung ujar Mayjen TNI Herman Asaribab didampingi Kapolda Papua Irjen Paulus Waterpauw di RS Bhayangkara Kota Jayapura Sabtu Mayjen Herman menyatakan dukacita mendalam kepada keluarga korban yang sudah datang menjenguk jenazah di Rumah Sakit Bhayangkara Kecelakaan yang dialami prajurit TNI dalam heli MI menurut Mayjen Herman merupakan kecelakaan murni fdn fdn biromakassar jayapura papua heli tni ad hilang heli tni hilang kontak 
