title,content
18 unit pompa padamkan kebakaran di kawasan padat Pondok Bambu, Terjadi korsleting listrik di lantai dua dan menyambar ke bahan mudah terbakar hingga api membesarJakarta Sebanyak unit pompa damkar dikerahkan untuk memadamkan api yang membakar rumah di kawasan padat Pondok Bambu Duren Sawit Jakarta Timur Jumat pagi Pengerahan unit pompa berikut personel pemadam kebakaran untuk antisipasi perambatan api di kawasan padat hunian kata Kasi Operasional Damkar Jakarta Timur Gatot Sulaeman di Jakarta Peristiwa itu dilaporkan kepada petugas piket Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Timur Jumat pukul WIB Titik lokasi berada dekat Pasar Swalayan Tip Top Pondok Bambu Jalan Pondok Bambu Batas Gang Damai RT RW Pondok Bambu Satu unit bangunan seluas meter persegi yang berdiri di kawasan padat hunian terbakar diduga akibat korsleting arus listrik Terjadi korsleting listrik di lantai dua dan menyambar ke bahan mudah terbakar hingga api membesar katanya Rumah yang dihuni jiwa dengan tiga kepala keluarga itu seluruhnya dilaporkan selamat Sementara api berhasil diantisipasi tidak sampai merambat ke hunian sekitar Kerugian materi sekitar Rp juta katanya Kendala yang dihadapi petugas adalah akses jalan yang relatif sempit serta sumber air yang jauh sehingga menyulitkan pergerakan pemadaman api Kini api berhasil dipadamkan sejak penanganan awal pukul WIB berakhir pukul WIB kata Gatot 
Kebakaran rumah di Pondok Bambu berhasil dipadamkan, Jakarta Kebakaran yang menimpa rumah tinggal di Jalan Pondok Bambu Atas Gg Damai RT RW Kelurahan Pondok Bambu Kecamatan Duren Sawit Jakarta Timur pada Jumat dini hari telah berhasil dipadamkan Sebanyak unit mobil pemadam kebakaran dikerahkan untuk memadamkan kebakaran yang dilaporkan terjadi pada pukul WIB itu Kebakaran berhasil dipadamkan pada pukul WIb demikian laporan Badan Penanggulangan Bencana Daerah DKI Jakarta lewat Twitter Petugas Sub Dinas Kebakaran Jakarta Timur Gatot ketika dihubungi Jumat pagi menyatakan jika kebakaran di rumah dua lantai itu diduga disebabkan oleh korsleting listrik Korban jiwa tidak ada Kalau kerugian diperkirakan sekitar juta kata Gatot Pewarta Aditya Eko Sigit WicaksonoEditor Triono Subagyo 
"Rumah di Duren Sawit terbakar, 17 mobil damkar dikerahkan", Sampai saat ini belum diketahui penyebab kebakaranJakarta Kebakaran terjadi di rumah yang terletak di Jalan Pahlawan Revolusi Pondok Bambu Duren Sawit Jakarta Timur Jumat dini hari Menurut laporan Badan Penanggulangan Bencana Daerah DKI Jakarta lewat akun Twitter resminya kebakaran dilaporkan terjadi pukul WIB Petugas Sub Dinas Kebakaran Jakarta Timur Ajru mengonfirmasi kebakaran tersebut dan saat ini proses pemadaman masih berlangsung dengan melibatkan unit mobil damkar Sampai saat ini belum diketahui penyebab kebakaran kata Ajru ketika dihubungi Jumat pagi 
Kabel optik internet di Jaksel terbakar, Jakarta Kabel optik internet di Jalan Paso Nomor RT RW Kelurahan Jagakarsa Jakarta Selatan terbakar pada Kamis diduga disebabkan arus pendek di kabel yang menumpuk Kepala Peleton Grup B Sektor Jagakarsa Sudin Penanggulangan Kebakaran dan Penyelamatan PKP Kota Administrasi Jakarta Selatan Sugiyanta mengatakan kebakaran kabel optik mengakibatkan jaringan internet di wilayah tersebut mengalami gangguan Penyebab pasti belum diketahui kemungkinan arus pendek Kemungkinan bisa saja kabel optik yang berdekatan dengan kabel listrik atau dipasang bersebelahan dengan kabel listrik lalu kabel listriknya yang korslet dan membakar kabel optik kata Sugiyanta Informasi kebakaran diketahui dari laporan petugas keamanan di Sekolah Citra Buana yang berada di sekitar lokasi kejadian Petugas keamanan tersebut mencium bau menyengat akibat kebakaran kabel data di depan sekolah dan langsung melaporkan kejadian kepada petugas Damkar sektor X Jagakarsa Satu unit mobil pompa berkapasitas liter dikerahkan ke lokasi Api membakar kabel dan menimbulkan bunga api Sebanyak delapan petugas diturunkan memadamkan api yang melalap kabel optik menggunakan alat pemadam kebakaran Apar Kita lakukan pemadaman menggunakan enam apar dan foam Pemadaman selesai pukul WIB kata Sugiyanta Tidak ada korban jiwa dalam peristiwa tersebut kebakaran kabel optik internet tersebut mengakibatkan jaringan internet di wilayah mengalami gangguan Menjelang libur Lebaran Idul Fitri Hijriah Damkar Jakarta Selatan mengimbau masyarakat untuk berhati hati terhadap terjadinya potensi kebakaran dengan memperhatikan keselamatan menggunakan listrik dan pada saat memasak di dapur Masyarakat juga diminta untuk segera melaporkan bila menemukan peristiwa kebakaran ke nomor telepon layanan darurat 
Sekolah jadi tempat pengungsian ibu dan anak warga Gang Venus, Terdapat tiga lokasi disediakan untuk tempat pengungsianJakarta Sekolah Candra Naya akan menjadi lokasi pengungsian prioritas bagi ibu dan anak yang menjadi korban kebakaran Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat Lokasinya sekitar meter dari lokasi kebakaran serta terdapat satu ruangan yang sanggup dihuni orang untuk memenuhi syarat menjaga jarak fisik agar tidak tertular wabah COVID Alhamdulilah tadi diberikan tiga ruangan oleh sekolah Candra Naya Satu ruangan bisa nampung orang Jadi bisa menampung warga dan itu cocok untuk ibu ibu yang punya anak anak karena ruangannya luas jadi untuk bermain anak anak itu cocok kata Camat Tambora Bambang Sutarna di Jakarta Rabu Selain di lokasi tersebut Bambang mengatakan pihaknya membuka posko pengungsian warga di tiga lokasi yakni di Kantor Kelurahan Jembatan Besi Masjid Al Falah dan rumah dinas Lurah Jembatan Besi Pemindahan pengungsi ke Sekolah Candra Naya rencananya akan dilakukan pada sore ini Data terbaru hari ini ada jiwa yang berada di pengungsian kata Bambang Bambang mengatakan selama di pengungsian distribusi makanan kepada para korban sudah tercukupi Untuk makanan dari Dinsos berupa makan siap saji termasuk dari BNPB dan polisi juga ada Jadi Alhamdulilah semua tercukupi ujar dia Sebelumnya Sebanyak rumah di Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat hangus dilalap api akibat korsleting listrik Kasie Ops Pemadam Kebakaran Jakarta Barat Eko Sumarno mengatakan api diduga berasal dari korsleting dari salah satu rumah kontrakan Eko menjelaskan rumah terbakar di tiga wilayah RT berbeda Beruntung tak ada korban jiwa dalam peristiwa tersebut Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
Polrestro Jakbar dirikan tenda sementara tampung pengungsi Gang Venus, tenda ditempatkan di pinggir jalan rayaJakarta Polres Metro Jakarta Barat mendirikan tenda sementara di pinggir jalan untuk menampung pengungsi kebakaran dari Gang Venus Jalan Jembatan Besi II Tambora Jakarta Barat Tenda penampungan sementara yang juga berfungsi sebagai posko kebakaran didirikan di pinggir jalan raya dengan alasan untuk mencegah penularan COVID antar pengungsi Sengaja kami taruh di pinggir jalan karena bahaya COVID Kalau di dalam gang dikhawatirkan warga yang padat tertular wabah Corona ujar Kapolres Metro Jakarta Barat Kombes Pol Audie Latuheru di Jakarta Selasa Saat ini pihaknya tengah berkoordinasi dengan Pemerintah Kota Jakarta Barat untuk mempersiapkan tempat pengungsian yang layak dan sesuai dengan protokol kesehatan Terdapat tiga posko pengungsian sementara Pertama di pinggir Jalan Jembatan Besi II kedua di rumah dinas Lurah Jembatan Besi dan satu posko Kantor Kelurahan Jembatan Besi Kurang lebih sebanyak jiwa terdampak kebakaran dan kehilangan tempat tinggal Untuk meringankan beban pengungsi Polres Metro Jakarta Barat mendatangkan program Warteg Gratis dengan membagikan makanan siap saji Sementara kami siapkan makanan siap saji terlebih dahulu untuk warga yang tidak puasa Sisanya nanti makanan siap saji ketika buka puasa ujar Audie Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
Sudinsos Jakbar siapkan sejumlah posko pengungsi kebakaran Gang Venus, Lokasi padat penduduk membuat pemerintah setempat tidak akan mendirikan tenda pengungsian untuk menampung korban kebakaranJakarta Suku Dinas Sosial Jakarta Barat tengah mempersiapkan sejumlah posko pengungsi kebakaran Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat Sejumlah posko pengungsi tersebut dipersiapkan untuk menampung kurang lebih orang pengungsi yang kehilangan rumah dengan mengutamakan protokol kesehatan COVID Kalau memungkinkan didirikan tenda kalau tidak di rumah ibadah di gedung gedung sekolah ujar Kasudinsos Jakarta Barat Mursidin di Jakarta Selasa Namun pihaknya masih melihat situasi dan kondisi sebelum memutuskan menampung pengungsi menggunakan tenda mengingat wilayahnya padat Sementara untuk saat ini pihaknya berkoordinasi dengan camat untuk mempersiapkan sejumlah tempat penampungan Makanan siap saji sedang disiapkan ujar dia Sebelumnya sebanyak rumah di Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat hangus dilalap api yang diduga disebabkan korsleting listrik Kasie Ops Pemadam Kebakaran Jakarta Barat Eko Sumarno mengatakan api diduga berasal dari korsleting dari salah satu rumah kontrakan Asal api diduga dari arus pendek listrik dari rumah kontrakan ujar Eko Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
Ratusan rumah di Gang Venus hangus akibat korsleting, Wilayah terparah RT Jembatan Besi rumah hangus yang dihuni KK atau jiwaJakarta Sebanyak rumah di Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat hangus dilalap api akibat korsleting listrik Kasie Ops Pemadam Kebakaran Jakarta Barat Eko Sumarno mengatakan api diduga berasal dari korsleting dari salah satu rumah kontrakan Asal api diduga akibat arus pendek listrik dari rumah kontrakan ujar Eko di Jakarta Selasa Eko menjelaskan rumah terbakar di tiga wilayah RT berbeda Di RT Jembatan Besi dua rumah hangus dan lima kepala keluarga KK atau jiwa kehilangan rumah Kemudian RT Jembatan Besi rumah hangus yang dihuni kepala keluarga KK atau jiwa Wilayah terparah RT Jembatan Besi rumah hangus yang dihuni KK atau jiwa Korban jiwa nihil kata Eko Kebakaran berhasil dipadamkan sekitar pukul WIB dan kini dalam proses pendinginan agar tak ada api lagi yang dapat menjalar ke material bangunan Total unit pemadam kebakaran diterjunkan untuk menangani kebakaran Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
Lapak mebel di Klender terbakar, Jakarta Lapak produksi mebel di Kelurahan Klender Kecamatan Duren Sawit Jakarta Timur terbakar pada Senin pagi Luas area terbakar meter persegi berikut barang produksi kata Kasi Operasional Damkar Jakarta Timur Gatot Sulaeman di Jakarta Kejadian itu dilaporkan kepada petugas Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Timur pukul WIB Sepuluh unit armada pompa berikut personel evakuasi dikerahkan menuju lokasi kejadian di Jalan Buaran I RT RW Petugas melakukan penyekatan api agar tidak merambat ke sejumlah bangunan sekitarnya Lokasi kejadian dekat dengan minimarket Alfamidi katanya Proses pemadaman api yang berlangsung mulai pukul WIB berakhir pukul WIB Kendala yang dihadapi petugas adalah akses jalan yang sempit sehingga mempersulit laju kendaraan petugas Hasil penelusuran awal diduga kebakaran akibat arus pendek listrik korsleting pada meteran listrik Salah satu karyawan melihat meteran listrik api sudah membesar katanya Lapak produksi mebel yang dimiliki Eko mempekerjakan enam karyawan Korban jiwa nihil tapi kerugian materi dihitung mencapai Rp juta kata Gatot Pewarta Andi FirdausEditor Sri Muryono 
"Ditinggal penghuni, empat rumah di Padang dilalap si jago merah", Padang Empat unit rumah di Jalan Dobi Kelurahan Kampung Pondok Padang Sumatera Barat Senin dini hari dilanda kebakaran Kami mendapat informasi adanya kebakaran sekitar pukul WIB kemudian langsung mengerahkan mobil pemadam ke lokasi kata Kepala Bidang Operasional Dinas Pemadam Kebakaran Kota Padang Basril di Padang Senin pagi Empat unit rumah yang terbakar tersebut satu di antaranya merupakan rumah semipermanen sedangkan sisanya rumah kayu sehingga api dengan cepat membesar Meskipun demikian rumah kontrakan tersebut tidak seluruhnya memiliki penghuni karena sebagian di antara mereka pulang kampung Kobaran api akhirnya dapat dijinakkan petugas sekitar pukul WIB setelah sekitar jam berjibaku dengan si jago merah Setidaknya ada tujuh unit mobil pemadam kebakaran serta puluhan personel yang dikerahkan ke lokasi untuk melakukan pemadaman Tidak ada korban jiwa dalam peristiwa tersebut Adapun jumlah kerugian materiel belum bisa ditaksir Salah seorang warga setempat bernama Sulaiman mengaku mengetahui kebakaran setelah api sudah membesar Saya tahu setelah istri memberi tahu ada kebakaran Setelah dilihat ternyata api sudah besar katanya Sementara itu Kepala Unit II SPKT Polresta Padang Ipda Zulkifli mengatakan bahwa pihaknya akan melakukan penyelidikan terhadap peristiwa tersebut Pada tahap awal kami mengamankan lokasi kejadian dan olah tempat kejadian perkara TKP kemudian melakukan penyelidikan katanya Pantauan di lapangan peristiwa itu sempat menjadi perhatian warga sekitar Polisi berusaha mengamankan lokasi serta mengatur lalu lintas Pewarta Laila SyafarudEditor D Dj Kliwantoro 
